"day","dau"
"2019-11-01",13163
"2019-11-02",14121
"2019-11-03",14293
"2019-11-04",16447
"2019-11-05",15601
"2019-11-06",15400
"2019-11-07",16301
"2019-11-08",17180
"2019-11-09",16904
"2019-11-10",17560
"2019-11-11",18026
"2019-11-12",17901
"2019-11-13",18110
"2019-11-14",26203
"2019-11-15",50099
"2019-11-16",53502
"2019-11-17",52590
"2019-11-18",18285
"2019-11-19",15655
"2019-11-20",15448
"2019-11-21",15197
"2019-11-22",14137
"2019-11-23",14043
"2019-11-24",14365
"2019-11-25",14324
"2019-11-26",14864
"2019-11-27",14928
"2019-11-28",14957
"2019-11-29",16764
"2019-11-30",15709
